DTM,PRC
20250418 090002,11680
20250418 090006,11675
20250418 090007,11670
20250418 090007,11665
20250418 090008,11670
20250418 090009,11675
20250418 090019,11670
20250418 090025,11660
20250418 090025,11655
20250418 090027,11665
20250418 090030,11670
20250418 090030,11675
20250418 090031,11680
20250418 090044,11685
20250418 090047,11675
20250418 090049,11670
20250418 090051,11665
20250418 090052,11670
20250418 090100,11665
20250418 090101,11660
20250418 090101,11665
20250418 090104,11660
20250418 090104,11665
20250418 090106,11660
20250418 090109,11655
20250418 090111,11645
20250418 090112,11650
20250418 090113,11645
20250418 090115,11650
20250418 090115,11645
20250418 090119,11650
20250418 090119,11655
20250418 090124,11650
20250418 090125,11655
20250418 090131,11660
20250418 090131,11655
20250418 090133,11650
20250418 090137,11655
20250418 090138,11650
20250418 090143,11655
20250418 090149,11660
20250418 090155,11655
20250418 090200,11650
20250418 090207,11655
20250418 090209,11650
20250418 090213,11655
20250418 090214,11665
20250418 090215,11660
20250418 090217,11665
20250418 090219,11660
20250418 090221,11665
20250418 090227,11670
20250418 090230,11675
20250418 090231,11680
20250418 090233,11685
20250418 090239,11690
20250418 090240,11685
20250418 090245,11690
20250418 090246,11695
20250418 090249,11690
20250418 090251,11685
20250418 090252,11690
20250418 090255,11680
20250418 090303,11685
20250418 090309,11680
20250418 090310,11685
20250418 090313,11680
20250418 090317,11675
20250418 090323,11680
20250418 090332,11675
20250418 090339,11665
20250418 090342,11670
20250418 090400,11675
20250418 090410,11670
20250418 090412,11665
20250418 090426,11660
20250418 090441,11655
20250418 090445,11650
20250418 090455,11655
20250418 090504,11650
20250418 090508,11645
20250418 090512,11640
20250418 090521,11635
20250418 090526,11630
20250418 090534,11635
20250418 090539,11640
20250418 090546,11635
20250418 090550,11640
20250418 090555,11635
20250418 090557,11640
20250418 090602,11630
20250418 090605,11625
20250418 090612,11620
20250418 090614,11615
20250418 090615,11610
20250418 090617,11615
20250418 090619,11600
20250418 090620,11605
20250418 090621,11610
20250418 090623,11605
20250418 090627,11610
20250418 090635,11615
20250418 090637,11610
20250418 090642,11625
20250418 090644,11620
20250418 090654,11615
20250418 090655,11610
20250418 090700,11605
20250418 090705,11600
20250418 090712,11605
20250418 090712,11610
20250418 090714,11605
20250418 090720,11610
20250418 090721,11605
20250418 090724,11600
20250418 090726,11595
20250418 090727,11600
20250418 090730,11590
20250418 090731,11585
20250418 090732,11595
20250418 090733,11590
20250418 090736,11595
20250418 090737,11585
20250418 090739,11590
20250418 090740,11585
20250418 090741,11590
20250418 090742,11595
20250418 090748,11590
20250418 090749,11600
20250418 090750,11595
20250418 090752,11590
20250418 090755,11585
20250418 090801,11590
20250418 090802,11595
20250418 090806,11600
20250418 090806,11595
20250418 090807,11590
20250418 090811,11595
20250418 090815,11590
20250418 090819,11595
20250418 090834,11600
20250418 090840,11595
20250418 090841,11600
20250418 090856,11605
20250418 090859,11610
20250418 090901,11605
20250418 090913,11600
20250418 090914,11605
20250418 090915,11600
20250418 090925,11605
20250418 090930,11610
20250418 090931,11615
20250418 090933,11620
20250418 090940,11625
20250418 090941,11620
20250418 090944,11625
20250418 090945,11630
20250418 090947,11635
20250418 090948,11630
20250418 090949,11635
20250418 090952,11640
20250418 090957,11635
20250418 090958,11645
20250418 090959,11640
20250418 091006,11645
20250418 091010,11650
20250418 091015,11645
20250418 091021,11650
20250418 091026,11655
20250418 091027,11660
20250418 091029,11655
20250418 091031,11660
20250418 091034,11655
20250418 091038,11660
20250418 091040,11665
20250418 091041,11660
20250418 091044,11665
20250418 091048,11660
20250418 091050,11665
20250418 091053,11660
20250418 091055,11665
20250418 091056,11670
20250418 091057,11665
20250418 091058,11660
20250418 091107,11655
20250418 091108,11660
20250418 091109,11655
20250418 091113,11660
20250418 091118,11665
20250418 091123,11660
20250418 091124,11665
20250418 091129,11670
20250418 091129,11665
20250418 091134,11670
20250418 091136,11675
20250418 091139,11680
20250418 091140,11675
20250418 091148,11670
20250418 091153,11675
20250418 091158,11670
20250418 091200,11675
20250418 091201,11680
20250418 091204,11685
20250418 091211,11680
20250418 091223,11685
20250418 091224,11680
20250418 091225,11685
20250418 091230,11690
20250418 091233,11695
20250418 091238,11700
20250418 091241,11705
20250418 091242,11710
20250418 091243,11705
20250418 091244,11700
20250418 091248,11702
20250418 091249,11705
20250418 091253,11710
20250418 091254,11705
20250418 091255,11710
20250418 091259,11700
20250418 091300,11710
20250418 091303,11705
20250418 091309,11710
20250418 091310,11705
20250418 091313,11710
20250418 091322,11712
20250418 091323,11710
20250418 091328,11715
20250418 091329,11720
20250418 091330,11725
20250418 091331,11720
20250418 091332,11725
20250418 091335,11730
20250418 091337,11735
20250418 091338,11730
20250418 091341,11735
20250418 091342,11730
20250418 091348,11725
20250418 091349,11720
20250418 091359,11715
20250418 091400,11725
20250418 091401,11720
20250418 091404,11715
20250418 091405,11720
20250418 091406,11715
20250418 091409,11720
20250418 091412,11715
20250418 091413,11720
20250418 091418,11725
20250418 091423,11720
20250418 091429,11725
20250418 091430,11720
20250418 091432,11715
20250418 091433,11720
20250418 091434,11715
20250418 091435,11720
20250418 091437,11725
20250418 091438,11720
20250418 091445,11725
20250418 091446,11720
20250418 091447,11725
20250418 091455,11720
20250418 091456,11725
20250418 091500,11730
20250418 091502,11725
20250418 091508,11730
20250418 091510,11725
20250418 091520,11730
20250418 091528,11725
20250418 091532,11720
20250418 091535,11725
20250418 091536,11720
20250418 091543,11725
20250418 091545,11730
20250418 091547,11725
20250418 091549,11715
20250418 091556,11710
20250418 091557,11715
20250418 091600,11710
20250418 091601,11705
20250418 091602,11700
20250418 091606,11695
20250418 091608,11690
20250418 091610,11685
20250418 091612,11690
20250418 091615,11695
20250418 091616,11690
20250418 091618,11700
20250418 091621,11695
20250418 091626,11690
20250418 091627,11695
20250418 091629,11700
20250418 091647,11695
20250418 091648,11700
20250418 091652,11705
20250418 091653,11700
20250418 091656,11705
20250418 091659,11695
20250418 091701,11690
20250418 091704,11685
20250418 091708,11690
20250418 091711,11695
20250418 091713,11690
20250418 091715,11685
20250418 091724,11690
20250418 091729,11695
20250418 091732,11700
20250418 091735,11705
20250418 091738,11700
20250418 091743,11705
20250418 091746,11700
20250418 091752,11695
20250418 091804,11705
20250418 091806,11710
20250418 091811,11715
20250418 091812,11710
20250418 091817,11715
20250418 091818,11712
20250418 091825,11715
20250418 091828,11720
20250418 091830,11715
20250418 091837,11710
20250418 091838,11715
20250418 091845,11712
20250418 091846,11710
20250418 091850,11705
20250418 091853,11700
20250418 091855,11705
20250418 091858,11710
20250418 091905,11705
20250418 091910,11700
20250418 091911,11705
20250418 091913,11700
20250418 091917,11705
20250418 091923,11700
20250418 091929,11705
20250418 091934,11710
20250418 091936,11705
20250418 091943,11700
20250418 091944,11705
20250418 091952,11710
20250418 091956,11705
20250418 092011,11710
20250418 092016,11705
20250418 092018,11700
20250418 092023,11705
20250418 092027,11700
20250418 092113,11705
20250418 092114,11700
20250418 092118,11697
20250418 092123,11700
20250418 092133,11705
20250418 092153,11710
20250418 092154,11705
20250418 092210,11710
20250418 092211,11700
20250418 092223,11695
20250418 092224,11700
20250418 092226,11695
20250418 092233,11690
20250418 092250,11695
20250418 092257,11700
20250418 092307,11705
20250418 092308,11700
20250418 092310,11705
20250418 092311,11700
20250418 092320,11705
20250418 092332,11710
20250418 092340,11705
20250418 092351,11710
20250418 092405,11705
20250418 092412,11700
20250418 092428,11695
20250418 092435,11700
20250418 092439,11695
20250418 092441,11700
20250418 092442,11695
20250418 092452,11700
20250418 092523,11695
20250418 092535,11690
20250418 092538,11685
20250418 092539,11690
20250418 092540,11685
20250418 092554,11690
20250418 092605,11695
20250418 092612,11690
20250418 092619,11695
20250418 092629,11700
20250418 092631,11695
20250418 092643,11690
20250418 092711,11685
20250418 092712,11690
20250418 092717,11685
20250418 092743,11680
20250418 092745,11685
20250418 092751,11675
20250418 092815,11680
20250418 092825,11675
20250418 092826,11680
20250418 092845,11675
20250418 092905,11680
20250418 092912,11675
20250418 092921,11672
20250418 092925,11675
20250418 092927,11665
20250418 092928,11670
20250418 092933,11660
20250418 092936,11667
20250418 092937,11675
20250418 092942,11670
20250418 092951,11665
20250418 092952,11670
20250418 092953,11665
20250418 092958,11660
20250418 092959,11665
20250418 093000,11660
20250418 093001,11665
20250418 093002,11670
20250418 093003,11665
20250418 093008,11670
20250418 093010,11665
20250418 093015,11670
20250418 093019,11675
20250418 093039,11670
20250418 093041,11665
20250418 093042,11660
20250418 093055,11665
20250418 093107,11670
20250418 093129,11675
20250418 093137,11670
